Kapacitet,Temperatura,Vrijeme,Broj_gledatelja,Rivali,Broj_stanovnika
30150,6,oblaèno,25531,0,34882
17000,7,kiša,17000,0,151879
42100,6,oblaèno,40727,0,557464
75000,7,vedro,75000,0,1450381
30210,8,kiša,30210,0,163487
30660,3,maglovito,28410,0,286374
81359,7,oblaèno,81359,0,586181
62271,12,oblaèno,60749,0,260368
15000,12,oblaèno,15000,0,132438
49000,12,oblaèno,49000,0,532163
57000,11,oblaèno,49726,0,1787408
51500,10,oblaèno,46000,0,732688
50000,13,oblaèno,50000,0,1060582
60441,12,oblaèno,47343,0,612441
74475,10,oblaèno,39835,0,6004857
54010,14,oblaèno,53610,0,259996
57000,3,maglovito,57000,1,1787408
15000,2,maglovito,13500,0,132438
30150,3,maglovito,24140,0,34882
74475,1,snijeg,35196,0,6004857
49000,2,maglovito,35600,0,532163
50000,5,oblaèno,50000,0,1060582
54010,4,maglovito,54010,0,259996
51500,3,maglovito,35000,0,732688
62271,3,oblaèno,62271,0,260368
34000,6,kiša,32015,0,209779
30210,4,oblaèno,28790,0,163487
81359,5,maglovito,81359,0,586181
17000,4,oblaèno,17000,0,151879
42100,4,oblaèno,40141,0,557464
28653,3,oblaèno,30660,0,286374
60441,5,maglovito,46600,0,612441
30000,3,oblaèno,29156,0,124045
75000,5,oblaèno,75000,1,1450381
54010,7,kiša,51569,0,259996
62271,9,olujna grmljavina,61483,0,260368
15000,10,oblaèno,15356,0,132438
74475,10,oblaèno,74244,0,6004857
49000,6,kiša,35569,0,532163
51500,9,oblaèno,4200,0,732688
30210,9,kiša,30210,1,163487
57000,9,olujna grmljavina,51999,0,1787408
30150,5,olujna grmljavina,26231,0,34882
34000,5,oblaèno,32107,0,209779
30000,5,oblaèno,26884,0,124045
60441,4,oblaèno,45465,0,612441
81359,5,oblaèno,81359,0,586181
17000,6,kiša,16800,0,151879
42100,4,oblaèno,38454,0,557464
50000,4,kiša,45432,0,1060582
57000,0,snijeg,56706,0,1787408	
30660,4,oblaèno,30660,0,286374
51500,5,oblaèno,47200,0,732688
54010,4,oblaèno,52226,1,259996
15000,3,kiša,15000,0,132438
30150,4,kiša,24019,0,34882
74475,5,oblaèno,40126,0,6004857
75000,6,oblaèno,75000,0,1450381
30210,4,kiša,30210,0,163487
62271,3,kiša,61262,0,260368
49000,4,oblaèno,32400,0,532163
50000,3,vedro,48900,0,1060582
30000,5,vedro,30000,0,124045
60441,5,oblaèno,54356,0,612441
57000,4,oblaèno,50675,0,1787408
42100,6,vedro,40369,0,557464
30660,3,vedro,29665,0,286374
34000,2,vedro,26557,0,209779
81359,4,vedro,81359,0,586181
51500,2,vedro,43500,0,732688
15000,2,maglovito,14503,0,132438
49000,3,maglovito,345003,0,532163
62271,4,oblaèno,60856,0,260368
54010,3,maglovito,46627,0,259996
30210,5,vedro,25506,0,163487
30150,2,oblaèno,21092,0,34882
74475,3,oblaèno,636608,0,6004857
17000,2,maglovito,17000,0,151879
75000,3,oblaèno,75000,0,1450381
30000,4,olujna grmljavina,29224,0,124045
60441,3,oblaèno,44647,0,612441
51500,5,kiša,40000,0,732688
42100,3,oblaèno,42100,0,557464
30660,2,olujna grmljavina,27610,0,286374
50000,3,kiša,49300,0,1060582
81359,4,oblaèno,81359,1,586181
34000,3,oblaèno,34000,0,209779
57000,4,oblaèno,46136,0,1787408
74475,4,oblaèno,51424,0,6004857
30150,3,oblaèno,25231,0,34882
15000,2,oblaèno,15107,0,132438
30660,2,oblaèno,25521,0,286374
49000,3,oblaèno,40600,0,532163
54010,2,oblaèno,54010,0,259996
75000,3,oblaèno,75000,1,1450381
30210,3,kiša,32010,0,163487
81359,2,oblaèno,81359,0,586181
62271,4,oblaèno,62271,0,260368
30000,3,oblaèno,26422,0,124045
74475,6,oblaèno,40385,0,6004857
57000,5,oblaèno,48263,0,1787408
42100,4,oblaèno,38416,0,557464
50000,5,oblaèno,49600,0,1060582
51500,4,oblaèno,43300,0,732688
60441,5,oblaèno,54552,0,612441
30660,6,maglovito,30660,0,286374
30210,15,oblaèno,29232,0,163487
34000,17,oblaèno,31780,0,209779
15000,17,oblaèno,15200,0,132438
49000,17,oblaèno,49000,0,532163
17000,16,oblaèno,17000,0,151879
75000,18,oblaèno,75000,0,1450381
81359,16,oblaèno,81359,0,586181
54010,15,oblaèno,53114,0,259996
30150,17,oblaèno,301500,0,34882
74475,9,vedro,45229,0,6004857
60441,8,oblaèno,60000,1,612441
15000,7,vedro,15200,0,132438
57000,8,vedro,57000,0,1787408
51500,7,oblaèno,51000,0,732688
42100,8,vedro,41000,0,557464
30000,7,oblaèno,27844,0,124045
62271,7,oblaèno,61670,0,260368
50000,7,oblaèno,70000,1,1060582
49000,8,oblaèno,46196,0,532163
30210,8,oblaèno,30210,0,163487
30150,8,oblaèno,27745,0,34882
17000,7,oblaèno,15600,0,151879
42100,7,oblaèno,40557,0,557464
30660,8,oblaèno,30660,0,286374
75000,7,oblaèno,75000,1,1450381
81359,6,oblaèno,81359,0,586181
34000,7,oblaèno,33275,0,209779
57000,7,kiša,57000,1,1787408
30000,5,oblaèno,27261,0,124045
60441,6,kiša,60000,0,612441
15000,5,kiša,14831,0,132438
74475,7,oblaèno,76233,0,6004857
50000,6,oblaèno,50000,0,1060582
62271,6,oblaèno,62271,0,260368
54010,5,kiša,53144,0,259996
51500,6,oblaèno,50300,0,732688
30660,12,kiša,30144,0,286374
34000,13,oblaèno,34000,0,209779
30150,14,kiša,26561,0,34882
49000,12,kiša,46900,0,532163
81359,13,oblaèno,81359,0,586181
17000,12,kiša,14800,0,151879
75000,14,oblaèno,75000,1,1450381	
30210,13,oblaèno,30210,0,163487
42100,12,oblaèno,41000,0,557464
60441,18,vedro,60000,0,612441
62271,21,vedro,62271,0,260368
54010,20,vedro,54010,0,259996
15000,21,vedro,15617,0,132438
74475,17,vedro,60280,0,6004857
49000,16,vedro,38096,0,532163
57000,17,vedro,57000,0,1787408
51500,18,vedro,51500,0,732688
50000,17,vedro,50000,0,1060582
30000,17,kiša,30000,0,124045
34000,17,kiša,33800,0,209779
30210,18,kiša,29220,0,163487
30150,17,kiša,30150,0,34882
81359,17,oblaèno,81359,0,586181
17000,18,oblaèno,17000,0,151879
42100,18,oblaèno,42100,0,557464
75000,17,oblaèno,75000,0,1450381
30660,17,kiša,30660,0,286374
