Datum,Kapacitet,Temperatura,Vrijeme,Broj_gledatelja,Rivali,Broj_stanovnika
2016-05-07,60441,18,vedro,60000,0,612441
2016-05-07,62271,21,vedro,62271,0,260368
2016-05-07,54010,20,vedro,54010,0,259996
2016-05-07,15000,21,vedro,15617,0,132438
2016-05-07,74475,17,vedro,60280,0,6004857
2016-05-07,49000,16,vedro,38096,0,532163
2016-05-07,57000,17,vedro,57000,0,1787408
2016-05-07,51500,18,vedro,51500,0,732688
2016-05-07,50000,17,vedro,50000,0,1060582
2016-05-14,30000,7,kiša,30000,0,124045
2016-05-14,34000,7,kiša,33800,0,209779
2016-05-14,30210,8,kiša,29220,0,163487
2016-05-14,30150,7,kiša,30150,0,34882
2016-05-14,81359,7,oblaèno,81359,0,586181
2016-05-14,17000,8,oblaèno,17000,0,151879
2016-05-14,42100,8,oblaèno,42100,0,557464
2016-05-14,75000,7,oblaèno,75000,0,1450381
2016-05-14,30660,7,kiša,30660,0,286374
